Change,Close,Date,Momentum,open
0.000678564,570.598816,1/15/2014,0,570.5994946
0.006616649,574.374268,1/16/2014,1,574.3676514
0.004921288,571.547607,1/17/2014,0,571.5525283
0.011446957,578.090088,1/21/2014,1,578.078641
0.001134254,578.745789,1/22/2014,1,578.7446547
0.004223084,576.301697,1/23/2014,0,576.3059201
0.031264565,558.283875,1/24/2014,0,558.3151396
0.020109714,547.056946,1/27/2014,0,547.0770557
0.019777795,557.876526,1/28/2014,1,557.8567482
0.014327509,549.883545,1/29/2014,0,549.8978725
0.02572,564.02655,1/30/2014,1,564.00083
0.040144851,586.669312,1/31/2014,1,586.6291671
0.040255141,563.052856,2/3/2014,0,563.0931111
0.0041732,565.402588,2/4/2014,1,565.3984148
0.004428213,567.906311,2/5/2014,1,567.9018828
0.014660635,576.232178,2/6/2014,1,576.2175174
0.015069502,584.91571,2/7/2014,1,584.9006405
0.003830429,582.675232,2/10/2014,0,582.6790624
0.014706778,591.244507,2/11/2014,1,591.2298002
0.002932296,589.510803,2/12/2014,0,589.5137353
0.011131801,596.07312,2/13/2014,1,596.0619882
0.002416839,597.513733,2/14/2014,1,597.5113162
0.006717697,601.527649,2/18/2014,1,601.5209313
0.007052763,597.285217,2/19/2014,0,597.2922698
0.001472116,598.16449,2/20/2014,1,598.1630179
0.000265706,598.005554,2/21/2014,0,598.0058197
0.007243826,602.337402,2/24/2014,1,602.3301582
0.006177211,606.058167,2/25/2014,1,606.0519898
0.000139379,606.142639,2/26/2014,1,606.1424996
0.000786826,605.66571,2/27/2014,0,605.6664968
0.002919916,603.897217,2/28/2014,0,603.9001369
0.010660938,597.459106,3/3/2014,0,597.4697669
0.010160521,603.529602,3/4/2014,1,603.5194415
0.002757421,605.193787,3/5/2014,1,605.1910296
0.001108164,605.864441,3/6/2014,1,605.8633328
0.003952054,603.470032,3/7/2014,0,603.4739841
0.002650687,601.870422,3/10/2014,0,601.8730727
0.009557911,596.117798,3/11/2014,0,596.1273559
0.006091764,599.749207,3/12/2014,1,599.7431152
0.015108042,590.688171,3/13/2014,0,590.703279
0.013674752,582.610657,3/14/2014,0,582.6243318
0.016456352,592.198303,3/17/2014,1,592.1818466
0.016072535,601.716431,3/18/2014,1,601.7003585
0.00991528,595.750244,3/19/2014,0,595.7601593
0.001742792,594.711975,3/20/2014,0,594.7137178
0.011794624,587.697571,3/21/2014,0,587.7093656
0.021224993,575.223694,3/24/2014,0,575.244919
0.000682267,575.61615,3/25/2014,1,575.6154677
0.023085826,562.327576,3/26/2014,0,562.3506618
0.012308678,555.406067,3/27/2014,0,555.4183757
0.002739738,556.927734,3/28/2014,1,556.9249943
0.005392942,553.924255,3/31/2014,0,553.9296479
0.018295422,564.058533,4/1/2014,1,564.0402376
0.000282205,563.899353,4/2/2014,0,563.8996352
0.004832488,566.62439,4/3/2014,1,566.6195575
0.046687946,540.169861,4/4/2014,0,540.2165489
0.00918731,535.207153,4/7/2014,0,535.2163403
0.03112512,551.86554,4/8/2014,1,551.8344149
0.016651616,561.054993,4/9/2014,1,561.0383414
0.041106794,537.991821,4/10/2014,0,538.0329278
0.019132997,527.698425,4/11/2014,0,527.717558
0.003618516,529.60791,4/14/2014,1,529.6042915
0.007361219,533.50647,4/15/2014,1,533.4991088
0.037469296,553.496582,4/16/2014,1,553.4591127
0.03672696,533.168335,4/17/2014,0,533.205062
0.013952605,525.729248,4/21/2014,0,525.7432006
0.011709809,531.885437,4/22/2014,1,531.8737272
0.014715509,524.058472,4/23/2014,0,524.0731875
0.003377989,522.288208,4/24/2014,0,522.291586
0.017099578,513.3573,4/25/2014,0,513.3743996
0.00187912,514.32196,4/28/2014,1,514.3200809
0.020400276,524.81427,4/29/2014,1,524.7938697
0.001970796,523.779968,4/30/2014,0,523.7819388
0.008905205,528.444336,5/1/2014,1,528.4354308
0.006436451,525.04303,5/2/2014,0,525.0494665
0.000227265,524.923706,5/5/2014,0,524.9239333
0.024004837,512.322998,5/6/2014,0,512.3470028
0.010055576,507.171295,5/7/2014,0,507.1813506
0.002039414,508.205627,5/8/2014,1,508.2035876
0.015127113,515.893311,5/9/2014,1,515.8781839
0.021571989,527.022156,5/12/2014,1,527.000584
0.005982005,530.174805,5/13/2014,1,530.168823
0.012080516,523.77002,5/14/2014,0,523.7821005
0.012664879,517.136536,5/15/2014,0,517.1492009
0.001250005,517.782959,5/16/2014,1,517.781709
0.015807778,525.967957,5/19/2014,1,525.9521492
0.001720692,526.872986,5/20/2014,1,526.8712653
0.017309318,535.992798,5/21/2014,1,535.9754887
0.011355653,542.079346,5/22/2014,1,542.0679903
0.014016776,549.677551,5/23/2014,1,549.6635342
0.02397324,562.855103,5/27/2014,1,562.8311298
0.007544826,558.608459,5/28/2014,0,558.6160038
0.002848591,557.017212,5/29/2014,0,557.0200606
0.000339244,556.828247,5/30/2014,0,556.8285862
0.010644877,550.900879,6/2/2014,0,550.9115239
0.01622952,541.960022,6/3/2014,0,541.9762515
0.000513881,541.681519,6/4/2014,0,541.6820329
0.016964791,550.871033,6/5/2014,1,550.8540682
0.004387029,553.28772,6/6/2014,1,553.283333
0.010407536,559.046082,6/9/2014,1,559.0356745
0.002793085,557.484619,6/10/2014,0,557.4874121
0.003050527,555.783997,6/11/2014,0,555.7870475
0.013402754,548.334961,6/12/2014,0,548.3483638
0.000743662,548.742737,6/13/2014,1,548.7419933
0.013556602,541.30365,6/16/2014,0,541.3172066
0.002333371,540.040588,6/17/2014,0,540.0429214
0.019078834,550.343933,6/18/2014,1,550.3248542
0.002764829,551.86554,6/19/2014,1,551.8627752
0.002631123,553.317566,6/20/2014,1,553.3149349
0.015439651,561.860596,6/23/2014,1,561.8451563
